EventName,StartDate,EndDate,Time,Venue,Address,City,State,Zip,Category,EventType,PrizeMoney,Description,Website,Phone,Email,SourceImage,DateExtracted,TeamRopingAI
Willcox West Fest - Chuck Wagon Cook-Off & Ranch Rodeo,4/17/26,4/19/26,12:00 PM Friday,Willcox West Fest Grounds,1138 N Quail Park,Willcox,AZ,,Community Event,Festival / Ranch Rodeo,,"12th Annual Willcox West Fest featuring chuck wagon cook-off with 8 competing teams, ranch rodeo, mounted shooting by Tombstone Ghost Riders, team roping, goat roping, live music, 39+ vendors, and cowboy church. Free parking, admission by donation. Mesquite steak dinner Saturday, chuckwagon breakfast Sunday.",,505-220-5842,willcoxwestfest@gmail.com,648218506_1406970537896979_7485570609178964312_n.jpg,3/6/26,YES
Schooling Show (NACADA) - Freeman Farms,4/18/26,4/18/26,,Freeman Farms,1096 E. Road 3 South,Chino Valley,AZ,86323,Dressage,Schooling Show,,"Northern Arizona Chapter of ADA (NACADA) hosts a classical and western dressage schooling show at Freeman Farms in Chino Valley. A practical, low-pressure outing for riders wanting test experience, feedback, and a supportive community atmosphere. Entry and details are provided through NACADA's calendar and entry page.",https://azdressage.org/event/schooling-show-nacada/2026-04-18/,,,,1/26/26,NO
Arizona Working Equitation Club Youth Clinic - Apr 18,4/18/26,,8:00 am - 5:00 pm,3-H Ranch,7120 E Coyote Trail,Cornville,AZ,,Working Equitation,Clinic,FREE,"FREE Youth Working Equitation Clinics with clinicians Summer Star (International Youth Working Equitation Competitor, Portugal 2024) and Judy Mackenzie (USAWE Professional Instructor). Working Equitation is the fastest growing equestrian discipline in the USA, comprising 4 phases: Dressage, Ease of Handling (Obstacles), Speed, and Cattle. Level 1 is walk/trot only, Levels 2+ include canter. Riders can ride English or Western - for riders up to 17 years old. DATES/LOCATIONS: Feb 21 at 3-H Ranch, 7120 E Coyote Trail, Cornville, AZ. Mar 7 at 4 Star Ranch, 5550 E Longhorn Road, Chino Valley, AZ. Apr 18 at 3-H Ranch, Cornville, AZ. Overnight stalls/dry camping available. Attend one, two, or all three sessions. Limited spots!",,303-358-6118,rexwager@aol.com,Screenshot_2026-01-25_at_10_30_46_AM.png,1/25/26,NO
Scottsdale Saddle Club Gymkhana - April 19,4/19/26,4/19/26,,Scottsdale Rodeo Grounds,,Scottsdale,AZ,,Gymkhana,Series,,"Scottsdale Saddle Club gymkhana at the Rodeo Grounds featuring professional grade ground and facilities with divisions for every level of rider. Part of the 2026 season series running monthly through December. Visit scottsdalesaddleclub.com for full details, classes, and entry information.",www.scottsdalesaddleclub.com,,,634950103_1372842801313322_1568601591476657115_n.jpg,3/6/26,NO
BR Diamond Spur Barrels & Poles Series - April 25,4/25/26,4/25/26,,Charles Whitlow Rodeo Arena,,Florence,AZ,,Barrel Racing,Series,$500 Added,"BR Diamond Spur Barrels & Poles Series at Charles Whitlow Rodeo Arena. 80% payback, $500 added, cash only. Barrels: Open 5D $50, Youth 3D $40, Rookie 3D $20. Poles: 4D $50. Must enter 3 of 4 jackpots to qualify for awards.",,480-788-5509,,616820032_1389658729614663_371913574969192919_n.jpg,2/1/26,NO
Barrel Racing Clinic with Carrie Jankee Stevens,5/1/26,5/1/26,9:00 AM,United Farms,4073 South Ln,Heber,AZ,,Barrel Racing,Clinic,$250 ,"Barrel racing clinic presented by Carrie Jankee Stevens at United Farms in Heber. Full day clinic 9 AM-4 PM with lunch provided. Limited spots available with $50 non-refundable deposit required. Tack sale, raffles, and vendor booths on site. Call 623-687-0326 to reserve.",EquineWellBeing.org,623-687-0326,,645513745_1481087763712734_6179879080335137411_n.jpg,3/6/26,NO
Chino Valley Horse Show,5/2/26,,,Chino Valley Equestrian Park,2208 Equestrian Way,Chino Valley,AZ,86323,Horse Show,Competition,,"Chino Valley Equestrian Park presents an All Breed Western Horse Show. This event welcomes horses of all breeds to compete in western classes at the beautiful Chino Valley Equestrian Park facility. Located in the high country of Arizona, this show offers a chance to compete in a scenic setting with quality facilities. More information to follow as the event date approaches. A great opportunity for western riders in the Prescott/Chino Valley area to show close to home.",,,,616037269_854961900484639_9045927894185339314_n.jpg,1/25/26,NO
Hunter/Jumper Clinic with Jill Craven,5/2/26,5/2/26,8:00 AM,United Farms,4073 South Ln,Heber,AZ,85928,Hunter/Jumper,Clinic,$200 ,Hunter/jumper clinic with Jill Craven at United Farms in Heber. All levels welcome and encouraged. Limited to just 10 riders with $50 non-refundable deposit required. Gates open at 8 AM. Contact United Farms at (602) 540-0876 to reserve your spot.,,(602) 540-0876,,645573927_1481087637046080_6138076873300210843_n.jpg,3/6/26,NO
Huachuca Saddle Club Gymkhana Series 1 - May 9,5/9/26,5/9/26,9:00 AM,The Outlaw Arena,8191 E Barataria Blvd,Hereford,AZ,,Gymkhana,Series,,"Huachuca Saddle Club Gymkhana Series at The Outlaw Arena in Hereford. Barrels, poles, and two additional classes across six age divisions from lead line to 40 & over. Adult $9/class, Youth $8/class, or $40 flat for members. Must ride 3 of 4 dates to qualify for awards.",www.huachucasaddleclub.org,,,648169613_1365239612308006_1096723864128117341_n.jpg,3/6/26,NO
Central Arizona Riding Academy (CARA) Schooling Show Series,5/10/26,5/10/26,,Central Arizona Riding Academy (CARA),41656 N Rattlesnake Rd,San Tan Valley,AZ,85140,Dressage,Schooling Show,,"CARA's May schooling show is a one-day dressage test opportunity focused on good mileage and constructive judging in a relaxed environment. Great for riders prepping for summer and fall recognized shows, introducing horses to the show ring, or simply putting a test on paper. Registration details are posted on CARA's website.",https://azdressage.org/event/central-arizona-riding-academy-schooling-show-series/2026-05-10/,(480) 580-0634,,,1/26/26,NO
Randy Rogers Band Concert,5/14/26,,,The Maverick,,Tucson,AZ,,Concert,Entertainment,,"Texas country music favorites Randy Rogers Band bring their live show to The Maverick in Tucson. Known for hits like ""Kiss Me in the Dark,"" ""In My Arms Instead,"" and ""Trouble,"" the band has been a staple of the Texas/Red Dirt country scene for over two decades. Their energetic live performances and authentic country sound make them a must-see for fans of real country music. The Maverick provides an intimate venue setting perfect for experiencing this acclaimed band up close.",tucsonmaverick.com,,,619201580_18553835338046722_4444988063250026691_n.jpg,1/25/26,NO
BR Diamond Spur Barrels & Poles Series - May 16,5/16/26,5/16/26,9:00 AM,Charles Whitlow Rodeo Arena,,Florence,AZ,,Barrel Racing,Series,$500 Added,"BR Diamond Spur Barrels & Poles Series at Charles Whitlow Rodeo Arena. 80% payback, $500 added, cash only. Barrels: Open 5D $50, Youth 3D $40, Rookie 3D $20. Poles: 4D $50. Must enter 3 of 4 jackpots to qualify for awards.",,480-788-5509,,616820032_1389658729614663_371913574969192919_n.jpg,2/1/26,NO
NATRC Showdown at Sunset,5/16/26,5/17/26,,Sunset Ranch,,Seligman,AZ,,Trail Ride,Competition,,"North American Trail Ride Conference (NATRC) Region 2 LeD Rides presents 'Showdown at Sunset' at Sunset Ranch. Sunset Ranch Productions. Fabulous location, beautiful area, fun trails. Ride Manager: Kandace French Contreras.",natrc.org,,,622108310_10241990523723167_6390657422437819104_n.jpg,2/1/26,NO
Scottsdale Saddle Club Gymkhana - May 16,5/16/26,5/16/26,,Scottsdale Rodeo Grounds,,Scottsdale,AZ,,Gymkhana,Series,,"Scottsdale Saddle Club gymkhana at the Rodeo Grounds featuring professional grade ground and facilities with divisions for every level of rider. Part of the 2026 season series running monthly through December. Visit scottsdalesaddleclub.com for full details, classes, and entry information.",www.scottsdalesaddleclub.com,,,634950103_1372842801313322_1568601591476657115_n.jpg,3/6/26,NO
NRCHA Kimes Ranch Derby,5/27/26,6/6/26,,WestWorld of Scottsdale,16601 N Pima Rd,Scottsdale,AZ,85260,Reined Cow Horse,Premier Event,,"One of NRCHA's premier major events for 4- and 5-year-old cow horses, offering multiple divisions from Open and Non Pro to boxing and limited classes. The Derby features snaffle and hackamore competition, special spectacles (including bridle events), and a Run For A Million qualifier. Two weeks of shows, vendors, and championship finals at WestWorld.",https://www.nrcha.com/events/nrcha-derby/,940-488-1500,rexwager@aol.com,,1/26/26,NO
NCHA Days - Tri-Lakes CHA (Ozark Circuit),5/29/26,5/31/26,9:00 AM,NCHA Days (affiliate-produced),,Lakeview,AR,,Cutting,NCHA Days (Circuit Program),,"Tri-Lakes CHA hosts the Ozark Circuit's NCHA Days event in Lakeview, Arkansas. NCHA Days is a circuit program spotlight that delivers double circuit points, plus added money and awards, in an exclusive May show window. It's an ideal weekend for riders and owners looking to make a meaningful jump in circuit standings with a single focused event.",https://www.nchacutting.com/ncha-shows/circuit-program/ncha-weekend-events,817-244-6188,,,1/26/26,NO
Working Equitation Clinic with Tessa Nicolet,6/6/26,6/7/26,,Four Beat Ranch LLC,,Concho,AZ,,Working Equitation,Clinic,,"Working equitation clinic and private lessons with Tessa Nicolet, USAWE Professional Instructor and L Judge. Full day clinic covers dressage and obstacle handling. June 7 offers custom private lessons. New and experienced riders welcome. Camping and pens available. Sign up at CohesiveHorsemanship.com.",www.CohesiveHorsemanship.com,,Tessa@cohesivehorsemanship.com,634780888_122245901828161472_1753948471674964326_n.jpg,3/6/26,NO
20th Annual FUNdamentals Horse Camp & FUNkhana & Trail Challenge,6/9/26,6/13/26,,Buckin Burro Ranch,,Williamson Valley,AZ,,Youth Horse Camp,Camp / Clinic,"$1,000 per student","20th Annual FUNdamentals Horse Camp at Buckin Burro Ranch near Prescott. Five days and four nights of horsemanship for girls ages 9-16. Includes meals, housing, stalls, individualized instruction, speed events, trail rides, daily challenges, award ceremony, and trophys. Indoor arena and trails. Limited to 24 spots. $200 deposit to reserve.",,602-448-3910,,646373427_10240662885647150_2299023953576881729_n.jpg,3/6/26,NO
ADA Summer Heat Recognized Show,6/13/26,6/13/26,,WestWorld of Scottsdale,16601 N Pima Rd,Scottsdale,AZ,85260,Dressage,Rated Show,,"Arizona Dressage Association's Summer Heat recognized show offers USDF/USEF qualifying-score opportunities in a professionally managed setting at WestWorld of Scottsdale. Open to multiple levels and divisions, including Para Dressage and Western Dressage, with scheduling designed to avoid peak heat. Ideal for riders targeting championships and year-end awards.",https://azdressage.org/event/ada-summer-heat-recognized-show/,,,,1/26/26,NO
ADA Some More Summer Heat Recognized Show,6/14/26,6/14/26,,WestWorld of Scottsdale,16601 N Pima Rd,Scottsdale,AZ,85260,Dressage,Rated Show,,"Back-to-back with Summer Heat, ADA's Some More Summer Heat recognized show provides another full day to earn USDF/USEF qualifying scores at WestWorld of Scottsdale. Competitors can maximize travel by riding both days, with divisions spanning Intro through Grand Prix plus Para and Western Dressage options. A strong mid-summer checkpoint for fall goals.",https://azdressage.org/event/ada-some-more-summer-heat/,,,,1/26/26,NO
Central Arizona Riding Academy (CARA) Schooling Show Series,6/27/26,6/27/26,,Central Arizona Riding Academy (CARA),41656 N Rattlesnake Rd,San Tan Valley,AZ,85140,Dressage,Schooling Show,,"CARA's late-June schooling show is a one-day dressage test event built for practical show experience and helpful judge feedback. A good option for riders wanting to keep horses in a consistent competition routine through the summer. Visit CARA online for entries, schedules, and any division updates.",https://azdressage.org/event/central-arizona-riding-academy-schooling-show-series/2026-06-27/,(480) 580-0634,,,1/26/26,NO
Schooling Show (NACADA) - Freeman Farms,7/18/26,7/18/26,,Freeman Farms,1096 E. Road 3 South,Chino Valley,AZ,86323,Dressage,Schooling Show,,"NACADA's July schooling show at Freeman Farms offers classical and western dressage tests in a welcoming, educational setting. Designed for riders seeking mileage, feedback, and a relaxed competition day in Northern Arizona. Entries and show specifics are posted on NACADA's calendar and entry page.",https://azdressage.org/event/schooling-show-nacada/2026-07-18/,,,,1/26/26,NO
Schooling Show (NACADA) - Freeman Farms,9/5/26,9/5/26,,Freeman Farms,1096 E. Road 3 South,Chino Valley,AZ,86323,Dressage,Schooling Show,,"September NACADA schooling show at Freeman Farms in Chino Valley features classical and western dressage tests with a supportive show atmosphere. A strong tune-up before fall championships and recognized shows, with an emphasis on learning and good horsemanship. See NACADA's entry page for the latest details and forms.",https://azdressage.org/event/schooling-show-nacada/2026-09-05/,,,,1/26/26,NO
RVR Trail Ride 2026,9/16/26,9/20/26,,Coconino National Forest,,,AZ,,Trail Ride,Social Event,,"Save the date for the Rio Verde Roverettes All Woman's Trail Ride 2026! This year's theme celebrates America's Birthday - 250 Years. The multi-day trail ride takes place in the beautiful Coconino National Forest, offering scenic riding through Arizona's high country. This popular annual event brings together women riders for camaraderie, adventure, and appreciation of the outdoors on horseback. Invitations and detailed information will be emailed out June 1. Perfect for experienced trail riders looking for a memorable group riding experience in one of Arizona's most scenic forests.",rioverderoverettes.com,,rexwager@aol.com,616837201_26238980362352796_2752012080774694289_n.jpg,1/25/26,NO
Scottsdale Saddle Club Gymkhana - September 19,9/19/26,9/19/26,,Scottsdale Rodeo Grounds,,Scottsdale,AZ,,Gymkhana,Series,,"Scottsdale Saddle Club gymkhana at the Rodeo Grounds featuring professional grade ground and facilities with divisions for every level of rider. Part of the 2026 season series running monthly through December. Visit scottsdalesaddleclub.com for full details, classes, and entry information.",www.scottsdalesaddleclub.com,,,634950103_1372842801313322_1568601591476657115_n.jpg,3/6/26,NO
Scottsdale Saddle Club Gymkhana - October 3,10/3/26,10/3/26,,Scottsdale Rodeo Grounds,,Scottsdale,AZ,,Gymkhana,Series,,"Scottsdale Saddle Club gymkhana at the Rodeo Grounds featuring professional grade ground and facilities with divisions for every level of rider. Part of the 2026 season series running monthly through December. Visit scottsdalesaddleclub.com for full details, classes, and entry information.",www.scottsdalesaddleclub.com,,,634950103_1372842801313322_1568601591476657115_n.jpg,3/6/26,NO
The Desert Crown Youth Rodeo,10/30/26,11/1/26,,Buckeye Equestrian & Events Center,10300 S Miller Rd,Buckeye,AZ,85326,Rodeo,Rodeo,,The Desert Crown Youth Rodeo at Buckeye Equestrian and Events Center. Presented by Paloma Ready Mix and Materials. Arizona High School Rodeo Association sanctioned event featuring youth rodeo competition over three days. A premier youth rodeo in the Phoenix metro area.,buckeyearena.com,,,646860369_1564401359021032_4674146119608604638_n.jpg,3/6/26,YES
ADA Fall Fiesta (Double Show) & Arizona State Dressage Championships,11/7/26,11/8/26,,WestWorld of Scottsdale,16601 N Pima Rd,Scottsdale,AZ,85260,Dressage,Rated Show,,"ADA's Fall Fiesta is a two-day USDF/USEF recognized double show that also hosts the Arizona State Dressage Championships at WestWorld of Scottsdale. Riders compete for qualifying scores, year-end recognition, and state championship titles across multiple levels and divisions, including Para and Western Dressage. A marquee fall destination show for Arizona dressage.",https://azdressage.org/event/fall-fiesta-recognized-show-arizona-state-dressage-championship/2026-11-07/,,,,1/26/26,NO
Scottsdale Saddle Club Gymkhana - November 22,11/22/26,11/22/26,,Scottsdale Rodeo Grounds,,Scottsdale,AZ,,Gymkhana,Series,,"Scottsdale Saddle Club gymkhana at the Rodeo Grounds featuring professional grade ground and facilities with divisions for every level of rider. Part of the 2026 season series running monthly through December. Visit scottsdalesaddleclub.com for full details, classes, and entry information.",www.scottsdalesaddleclub.com,,,634950103_1372842801313322_1568601591476657115_n.jpg,3/6/26,NO
The Cup Series - Turkey Cup,11/26/26,11/26/26,,Dillon's Western Trails Arena,,Morristown,AZ,,Barrel Racing,Championship,"$6,400+ to 1st","The Cup Series presents The Turkey Cup barrel race at Dillon's Western Trails Arena. In conjunction with Dillon's Thanksgiving Day Race. Entries open Nov 1. $600 entry fee, limited to 200 entries. Projected payout with 80% back and 200 entries: 1st $6,400 & Trophy Cup, 2nd $5,760, 3rd $4,800, 4th $4,000, 5th $3,200, 6th $2,560, 7th $1,920, 8th $1,280, 9th $1,120, 10th $960. Times can be carried over from each run throughout the race. Trophy cups to each D winner. 3D equal payouts on 0.6 splits.",ssrproductions.org,435-681-0058,,623366934_122183836310660250_2648107888808350311_n.jpg,2/1/26,NO
Scottsdale Saddle Club Gymkhana - December 5,12/5/26,12/5/26,,Scottsdale Rodeo Grounds,,Scottsdale,AZ,,Gymkhana,Series,,"Scottsdale Saddle Club gymkhana at the Rodeo Grounds featuring professional grade ground and facilities with divisions for every level of rider. Part of the 2026 season series running monthly through December. Visit scottsdalesaddleclub.com for full details, classes, and entry information.",www.scottsdalesaddleclub.com,,,634950103_1372842801313322_1568601591476657115_n.jpg,3/6/26,NO
Dressage at Spear-Cross (Recognized Level 2 Show),12/12/26,12/13/26,9:00 AM,Spear-Cross Equine Center of Scottsdale,28475 N. 84th Street,Scottsdale,AZ,85266,Dressage,Rated Show,,Year-end Dressage at Spear-Cross recognized Level 2 show in Scottsdale. Two days of competition with licensed judging and a professional show setup at Spear-Cross Equine Center. A strong December option for riders targeting late-season qualifying scores and championship preparation. Check the event page for specifics and updates.,https://azdressage.org/event/dressage-at-spear-cross-2/,(480) 650-9661,,,1/26/26,NO
Zabawa Production Weekly Ropings - Friday #8.5,Fridays,,9:00 AM,Zabawa Arena,48069 W Papago Rd,Maricopa,AZ,,Team Roping,Weekly Jackpot,,"#8.5 roping capped at 4+. $150 entry, 3-steer progressive, 80% payback. Cash only.",,484-226-5961,,615515000_1565460128385179_3288440395961003483_n.jpg,1/25/26,YES
5 Flat Productions Monday Ropings,Mondays,,9:00 AM,Flying E Ranch,2801 W Wickenburg Way,Wickenburg,AZ,85390,Team Roping,Weekly Jackpot,80% Payout,"30+ and Ladies. #12.5, #11.5, #10.5 divisions. $125/roper, 4-steer PA1, enter 3x. Fresh cattle. Cash only.",,970-846-7825,,617960131_1704995653843884_2689894101989205811_n.jpg,1/25/26,YES
Zabawa Production Weekly Ropings - Monday #9.5,Mondays,,,Zabawa Arena,48069 W Papago Rd,Maricopa,AZ,,Team Roping,Weekly Jackpot,,"#9.5 roping for 40+ or any age ladies, capped at 5+. $150 entry, 3-steer progressive, 80% payback. Cash only.",,484-226-5961,,615515000_1565460128385179_3288440395961003483_n.jpg,1/25/26,YES
Team Roping Lessons with Cesar de la Cruz,Ongoing,,9:00 AM,,,Casa Grande,AZ,,Team Roping,Clinic,,"Train with 9-time NFR heeler Cesar de la Cruz in Casa Grande, Arizona. With over $1.3 million in lifetime earnings and three PRCA Tour Finale titles, Cesar brings elite-level experience to every lesson. Private and semi-private sessions are available for ropers of all skill levels looking to improve their technique, timing, and competitive edge. Whether you're working on your swing, positioning, or horse handling, Cesar provides personalized coaching tailored to your goals. His philosophy focuses on giving students all the tools for success in the arena. Contact via social media using #RopeWithCesar to schedule your session and take your heeling to the next level.",,,,574396100_1360897145404590_337187081454450241_n.jpg,1/25/26,YES
4D Arena Saturday Breakaway,Saturday,Saturday,"Books Close at 10:30 AM, Rope at 11:00 AM",4D Arena,23465 W Patton Rd,Wittmann,AZ,85361,Breakaway,Jackpot,,Open Breakaway every Saturday. 3 Head Progressive. Bell Collar Catch Only. Starts with the Open. March 14th will be $200/run in the Open. Cash Only. All ropings are 2/3rd payback unless specified. Ropings nominated for WCRA. Sponsored by Roping Finder & Akins Trailer Sales.,,(719) 539-5507,,645757754_950014267692249_3872782235165094531_n.jpg,3/6/26,YES
4D Arena Saturday Breakaway,Saturdays,,12:00 PM,4D Arena,23465 W Patton Rd,Wittmann,AZ,85361,Breakaway Roping,Weekly Series,Cash Prizes,"4D Arena Breakaway every Saturday! Books close at 10:30am, rope at 11:00am. Starts with the open. OPEN BREAKAWAY: $120 entry, Enter 4x max, 3 head progressive, bell collar catch only. NOVICE BREAKAWAY: $120 entry, Enter 4x max, straight 2 head average. Novice eligibility - must meet ONE: Woman over 50, kid under 12, or roper/horse with less than $1500 lifetime earnings. Cash only! All ropings are 2/3rd payback unless specified. Ropings are nominated for WCRA. Sponsored by Roping Finder and Akins Trailer Sales. Follow Hot Shot Equine and 4D Arena on Facebook for updates.",,(719) 539-5507,,620032530_918872384139771_7101876432825736538_n.jpg,1/27/26,YES
High Call Productions Saturday Ropings,Saturdays,,11:00 AM,Flying E Ranch,2801 Wickenburg Way,Wickenburg,AZ,,Team Roping,Weekly Series,,"High Call Productions offers weekend team roping at Flying E Ranch. Books open 9am, close 10am, rope at 10:15am. SATURDAYS (Over 40 & All Ladies): #12.5 Handicap - 4-steer $100/man, enter 3x, 80% payback. #8.5 Handicap (50+ & Ladies) - 3-steer $120/man, enter 3x or draw up to 6. #9.5 Handicap (50+ & Ladies) - 4-steer $150/man, enter 2x or draw up to 4, 70% payback. SUNDAYS (All Ages): #7.5 Handicap - 3-steer $120/man, knives to average winners. #9.5 Handicap - 3-steer $120/man. #11.5 Handicap - 4-steer $150/man, 70% payback. Cash only. USTRC/WSTR card required.",,214-585-2632,,622266550_1277474227771655_3884098997596505531_n.jpg,1/25/26,YES
4D Arena Sunday Funday,Sundays,,9:00 AM,4D Arena,23465 W Patton Rd,Wittmann,AZ,85361,Team Roping,Weekly Series,Trophy Buckles,"Weekly Sunday ropings. #7.5 over 40/ladies $100/man, #8.5 $120/man, #9.5 Handicap $120/man. Trophy buckles.",,(719) 539-5507,,616772801_916377151055961_6604103686076692976_n.jpg,1/25/26,YES
High Call Productions Sunday Ropings,Sundays,,10:00 AM,Flying E Ranch,2801 Wickenburg Way,Wickenburg,AZ,,Team Roping,Weekly Series,Knives,"High Call Productions offers weekend team roping at Flying E Ranch. Books open 9am, close 10am, rope at 10:15am. SATURDAYS (Over 40 & All Ladies): #12.5 Handicap - 4-steer $100/man, enter 3x, 80% payback. #8.5 Handicap (50+ & Ladies) - 3-steer $120/man, enter 3x or draw up to 6. #9.5 Handicap (50+ & Ladies) - 4-steer $150/man, enter 2x or draw up to 4, 70% payback. SUNDAYS (All Ages): #7.5 Handicap - 3-steer $120/man, knives to average winners. #9.5 Handicap - 3-steer $120/man. #11.5 Handicap - 4-steer $150/man, 70% payback. Cash only. USTRC/WSTR card required.",,214-585-2632,,622266550_1277474227771655_3884098997596505531_n.jpg,1/25/26,YES
Western Trails Arena Heel-O-Matic Practice,Tuesdays,,5:00 PM,Western Trails Arena,37839 W Grand Ave,Morristown,AZ,85342,Team Roping,Practice,,"Western Trails ""The Bar"" offers weekly Heel-O-Matic practice sessions every Tuesday in Morristown. The morning begins with Heel-O-Matic Dummy Practice from 10:00-11:00 AM ($20/horse), followed by Live Cattle Practice from 11:00 AM-1:00 PM ($40/horse, $25 additional horses). This is an ideal opportunity for ropers to work on their timing and technique in a low-pressure environment with quality cattle. Whether you're tuning up your heel horse or developing your skills, Western Trails provides a professional practice setting with experienced management.",,(208) 899-2621,,615480124_25543813098636346_4702449521010503637_n.jpg,1/25/26,YES
